year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.858180,2.642740,3.358270,1.549812,2.864664,1.354117,5.379282,4.756302,2.707125
2011,0.915348,2.719853,3.525401,1.555518,2.934925,1.416257,5.529355,4.793510,2.548560
2012,0.879083,2.770951,3.547677,1.491081,3.280124,1.540446,5.730931,4.903691,2.803605
2013,0.859505,2.891799,3.818099,1.645916,3.261053,1.455897,5.577358,4.972179,2.896845
2014,0.857731,3.120449,4.045156,1.680470,3.326574,1.544663,5.646739,5.000559,2.784841
2015,0.905922,3.099138,3.886718,1.574979,3.663951,1.696394,5.951674,5.255469,2.763970
2016,0.856641,3.156144,3.920965,1.638642,3.735140,1.746690,5.803449,1.581652,2.775395
2017,0.879541,3.113560,3.997107,1.729600,3.888779,1.767733,5.922212,1.576464,2.827698
2018,0.930977,3.316355,4.395236,1.846236,4.067651,1.912479,6.697608,1.676031,2.952353
2019,0.884965,3.507681,4.665439,1.972424,4.325762,1.962087,7.134515,1.985243,2.949311
2020,0.849804,3.615312,4.578500,1.915619,4.221534,1.967894,7.066121,1.900725,2.847719
2021,0.878472,3.665614,4.418462,1.893204,3.971677,1.844552,6.865973,1.921409,2.947445
2022,0.923152,4.044715,4.940085,1.998683,4.159855,1.892741,7.156394,1.914708,2.857152
2023,0.914369,3.709178,4.648726,1.877739,4.158048,1.861391,6.910273,1.734919,2.869450
2024,0.957036,3.906965,4.966578,2.048244,4.376607,2.097415,7.426676,2.155910,2.973608
2025,0.937966,3.654048,5.179120,2.077749,4.469378,2.111273,7.503117,2.100823,2.843258
2026,0.860033,3.759808,5.488719,2.125013,4.646142,2.230853,7.636079,2.131084,2.739021
2027,0.818995,3.774266,5.671466,2.190878,4.738679,2.335734,7.659956,2.100113,2.732933
2028,0.795159,3.716908,5.789507,2.173376,4.717777,2.291502,7.557886,2.087887,2.772114
2029,0.790301,3.712479,5.954311,2.195643,4.672873,2.306812,7.466064,2.086488,2.829799
2030,0.744455,3.873317,6.039167,2.226819,4.578413,2.233391,7.538048,2.194306,2.921344
2031,0.722228,3.884992,6.186546,2.296895,4.417633,2.170599,7.592106,2.241075,2.999857
2032,0.741138,3.944881,6.693543,2.414316,4.601673,2.200978,7.769639,2.365347,3.048926
2033,0.733747,3.943127,6.668369,2.318362,4.486273,2.200232,7.632854,2.325531,3.145908
2034,0.735347,3.933705,6.625295,2.316933,4.505866,2.237109,7.758178,2.308635,3.176948
2035,0.739885,3.800751,6.627602,2.316072,4.430108,2.198426,7.729087,2.271489,3.205086
2036,0.747582,3.739552,6.545062,2.257230,4.338734,2.156050,7.367331,2.397209,3.013469
2037,0.757997,3.743082,6.556759,2.263292,4.274085,2.167767,6.954051,2.404191,3.038831
2038,0.749867,3.694221,6.133348,2.231797,4.256666,2.189104,6.922351,2.272732,3.078229
2039,0.738831,3.544951,6.001094,2.216016,4.208876,2.141802,6.825901,2.137090,3.124984
2040,0.745195,3.550549,5.973637,2.230641,4.339911,2.126414,6.780476,2.205422,3.147804
2041,0.750859,3.586475,6.025984,2.242017,4.432344,2.154529,6.878246,2.189955,3.201372
2042,0.762990,3.519784,6.201727,2.267177,4.433652,2.144847,6.934600,2.228513,3.202829
2043,0.771564,3.577761,6.316656,2.304414,4.492250,2.215720,7.085598,2.279858,3.196146
2044,0.751563,3.673051,6.423592,2.318251,4.486453,2.223858,7.117551,2.359413,3.216992
2045,0.716803,3.723683,6.500850,2.359171,4.477860,2.262689,7.170787,2.461398,3.226556
2046,0.718965,3.795890,6.540277,2.392810,4.501936,2.342593,7.244801,2.465548,3.255445
2047,0.724840,3.895167,6.419639,2.406723,4.490632,2.399555,7.288305,2.517160,3.255843
2048,0.726701,3.907527,6.308069,2.422065,4.457742,2.390973,7.159330,2.572379,3.249705
2049,0.725793,3.848761,6.439577,2.387223,4.593865,2.408647,7.386389,2.626165,3.269576
2050,0.713332,3.860977,6.387714,2.353932,4.613367,2.433508,7.393847,2.731677,3.273041
