t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.683875,4.711564,4.274324,4.662090,5.211405,4.137874,3.986708,4.348851,4.172502
2011,1.816973,3.561499,3.232512,3.611184,3.674279,2.927836,3.128783,3.072885,2.283110
2012,0.608249,2.046157,1.835802,2.023827,2.358645,1.657890,1.846136,1.711282,0.855822
2013,2.752758,2.919934,2.717595,2.958825,2.911482,2.513759,2.646788,2.527453,1.493478
2014,3.290932,3.226641,3.473380,3.696553,3.347306,2.970546,3.142848,2.832533,1.899154
2015,1.075644,1.335855,1.425834,1.745415,1.933618,1.389862,1.571987,1.280897,0.350384
2016,0.754709,1.178244,1.317182,1.120629,1.462783,1.059535,1.171321,0.798267,0.154122
2017,1.026077,1.563513,1.772830,1.783921,1.739926,1.557646,1.649825,1.303398,0.634367
2018,1.135938,1.494356,1.570148,1.592753,1.526519,1.430504,1.569901,1.231905,0.575444
2019,1.046547,0.989432,0.871149,0.883062,1.038922,0.898527,0.937047,0.538670,0.198677
2020,0.582664,0.537068,0.455374,0.539249,0.676152,0.555077,0.622532,0.269587,-0.114263
2021,2.557157,2.060218,2.207226,2.345262,2.666628,2.555234,2.531615,2.261831,1.958028
2022,2.984533,2.443258,3.035049,3.401068,3.716464,3.666597,3.614054,3.099996,2.729752
2023,0.616925,0.568648,0.482150,0.570957,0.715910,0.587715,0.659137,0.285438,-0.120982
2024,-0.468010,-0.031321,0.210737,0.184579,0.497425,0.345082,0.398380,-0.191626,-0.546024
2025,-0.454252,0.112763,0.344876,0.320929,0.499549,0.410939,0.468171,-0.100039,-0.445625
2026,-0.252073,0.019707,0.197131,0.206801,0.316351,0.224597,0.318176,-0.232231,-0.439900
2027,-0.258877,-0.033279,0.157925,0.160226,0.353443,0.175124,0.277408,-0.229435,-0.439578
2028,-0.289135,-0.037449,0.207416,0.252221,0.437009,0.262914,0.367318,-0.125625,-0.368992
2029,-0.322310,-0.032144,0.242622,0.276503,0.477042,0.314815,0.415802,-0.066422,-0.365759
2030,-0.251269,-0.033219,0.269754,0.334502,0.533248,0.378667,0.493271,0.001634,-0.312151
2031,-0.182167,-0.023406,0.268865,0.299335,0.481149,0.424748,0.550534,0.069528,-0.296495
2032,-0.176144,-0.010662,0.332092,0.340568,0.630270,0.490504,0.644607,0.153234,-0.183365
2033,-0.082352,0.064029,0.371831,0.450130,0.590180,0.539430,0.707330,0.282865,-0.174894
2034,-0.011003,0.122283,0.403914,0.500722,0.619309,0.565403,0.733782,0.370414,-0.123494
2035,0.056341,0.171979,0.439723,0.566309,0.668940,0.607326,0.777152,0.464788,-0.103677
2036,0.093461,0.217097,0.495611,0.691647,0.737113,0.667947,0.818150,0.464172,0.082731
2037,0.092945,0.236787,0.497352,0.689038,0.757634,0.683358,0.805579,0.502848,0.041974
2038,0.198916,0.280015,0.536568,0.770227,0.813723,0.734539,0.833305,0.692031,0.112107
2039,0.222122,0.334648,0.576221,0.812897,0.867698,0.788379,0.877299,0.836469,0.184849
2040,0.164746,0.307851,0.575600,0.855858,0.862221,0.801046,0.902691,0.861927,0.224821
2041,0.221233,0.307528,0.575753,0.895945,0.870508,0.810443,0.930069,0.924016,0.204696
2042,0.198786,0.317525,0.557631,0.881745,0.867713,0.813421,0.943432,0.923621,0.243462
2043,0.097936,0.235768,0.489477,0.812074,0.819954,0.749603,0.912820,0.831754,0.237156
2044,0.027747,0.142980,0.424122,0.753046,0.782351,0.713009,0.886083,0.730459,0.171369
2045,0.070819,0.076273,0.370421,0.713242,0.758601,0.681674,0.876443,0.676002,0.217207
2046,0.043637,0.029397,0.349860,0.715050,0.743219,0.669778,0.883537,0.695452,0.199327
2047,-0.012972,-0.008888,0.310455,0.696182,0.833784,0.649055,0.856814,0.660313,0.230160
2048,-0.033075,-0.029444,0.296592,0.695373,0.847091,0.657421,0.868570,0.662000,0.294965
2049,-0.062187,-0.064672,0.245406,0.700461,0.791758,0.617461,0.841883,0.593020,0.265435
2050,-0.061527,-0.095693,0.225173,0.701374,0.756995,0.585727,0.823963,0.525706,0.281430
