scope,technology,series,scenario,identifiers,metric,year,value,unit,dollar_year,source_type,source_file,source_url,source_years,sources,method,atb_year
reeds,battery,battery_li,Moderate,{},fom,2018,8.503364001962124,USD/kW-yr,2022,calculated,atb_2020_workbook.xlsm | deflator.csv,https://atb-archive.nlr.gov/electricity/2020/files/2020-ATB-Data.xlsm | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2018],"[{""file"":""atb_2020_workbook.xlsm"",""url"":""https://atb-archive.nlr.gov/electricity/2020/files/2020-ATB-Data.xlsm"",""sha256"":""2fc2ccf72853304e45803959c77d82806debe8b686eec294838a7ac5219a7a13"",""format"":""workbook"",""location"":""Storage!L14,L11"",""dollar_year"":2018},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2020 Moderate base-year estimate; year=release-2. Calculated battery components: E=(C4-C2)/(4-2); P=C2-2*E; C(h)=P+h*E from ATB 2-hour and 4-hour system costs. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2020
reeds,battery,battery_li,Moderate,{},fom,2019,7.799541307626678,USD/kW-yr,2022,calculated,atb_2021_workbook.xlsm | deflator.csv,https://data.openei.org/files/4129/2021-ATB-Data_Master_new.xlsm | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2019],"[{""file"":""atb_2021_workbook.xlsm"",""url"":""https://data.openei.org/files/4129/2021-ATB-Data_Master_new.xlsm"",""sha256"":""211bc492df941a58acac912edea27c2ac2abf6d74fb2a24355fda6660c055632"",""format"":""workbook"",""location"":""Utility-Scale Battery Storage: capcost, Moderate, 2019"",""dollar_year"":2019},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2021 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2021
reeds,battery,battery_li,Moderate,{},fom,2020,7.05054176934305,USD/kW-yr,2022,calculated,atb_2022_workbook.xlsx | deflator.csv,https://data.openei.org/files/5716/2022 v3 Annual Technology Baseline Workbook Mid-year update 2-15-2023.xlsx | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2020],"[{""file"":""atb_2022_workbook.xlsx"",""url"":""https://data.openei.org/files/5716/2022 v3 Annual Technology Baseline Workbook Mid-year update 2-15-2023.xlsx"",""sha256"":""5ad5e47373f0dea32991d5828831bb407550397f1956abda6870e6786134b87e"",""format"":""workbook"",""location"":""Utility-Scale Battery Storage: capcost, Moderate, 2020"",""dollar_year"":2020},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2022 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2022
reeds,battery,battery_li,Moderate,{},fom,2021,8.07429061583427,USD/kW-yr,2022,calculated,atb_2023_workbook.xlsx | deflator.csv,https://data.openei.org/files/5865/2023-ATB-Data_Master_v9.0.xlsx | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2021],"[{""file"":""atb_2023_workbook.xlsx"",""url"":""https://data.openei.org/files/5865/2023-ATB-Data_Master_v9.0.xlsx"",""sha256"":""ec819404979d20e0e8de77e81f9e0ac7e6a9d51e52a3cb01dcca84dacd044092"",""format"":""battery"",""location"":""Utility-Scale Battery Storage: capcost, Moderate, 2021"",""dollar_year"":2021},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2023 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2023
reeds,battery,battery_li,Moderate,{},fom,2022,9.075140208,USD/kW-yr,2022,calculated,atb_2024_workbook.xlsx | deflator.csv,https://data.openei.org/files/6006/2024_v3_Workbook.xlsx | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2022],"[{""file"":""atb_2024_workbook.xlsx"",""url"":""https://data.openei.org/files/6006/2024_v3_Workbook.xlsx"",""sha256"":""34316344383535a8bf9eb220bc54282cff75bcbc332a38e8c10a17c487dc8e46"",""format"":""battery"",""location"":""Utility-Scale Battery Storage: capcost, Moderate, 2022"",""dollar_year"":2022},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2024 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2024
reeds,battery,battery_li,Moderate,{},fom_energy,2018,9.766544886311571,USD/kWh-yr,2022,calculated,atb_2020_workbook.xlsm | deflator.csv,https://atb-archive.nlr.gov/electricity/2020/files/2020-ATB-Data.xlsm | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2018],"[{""file"":""atb_2020_workbook.xlsm"",""url"":""https://atb-archive.nlr.gov/electricity/2020/files/2020-ATB-Data.xlsm"",""sha256"":""2fc2ccf72853304e45803959c77d82806debe8b686eec294838a7ac5219a7a13"",""format"":""workbook"",""location"":""Storage!L14,L11"",""dollar_year"":2018},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2020 Moderate base-year estimate; year=release-2. Calculated battery components: E=(C4-C2)/(4-2); P=C2-2*E; C(h)=P+h*E from ATB 2-hour and 4-hour system costs. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2020
reeds,battery,battery_li,Moderate,{},fom_energy,2019,8.308207045080593,USD/kWh-yr,2022,calculated,atb_2021_workbook.xlsm | deflator.csv,https://data.openei.org/files/4129/2021-ATB-Data_Master_new.xlsm | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2019],"[{""file"":""atb_2021_workbook.xlsm"",""url"":""https://data.openei.org/files/4129/2021-ATB-Data_Master_new.xlsm"",""sha256"":""211bc492df941a58acac912edea27c2ac2abf6d74fb2a24355fda6660c055632"",""format"":""workbook"",""location"":""Utility-Scale Battery Storage: capcost_energy, Moderate, 2019"",""dollar_year"":2019},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2021 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2021
reeds,battery,battery_li,Moderate,{},fom_energy,2020,10.444162198462713,USD/kWh-yr,2022,calculated,atb_2022_workbook.xlsx | deflator.csv,https://data.openei.org/files/5716/2022 v3 Annual Technology Baseline Workbook Mid-year update 2-15-2023.xlsx | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2020],"[{""file"":""atb_2022_workbook.xlsx"",""url"":""https://data.openei.org/files/5716/2022 v3 Annual Technology Baseline Workbook Mid-year update 2-15-2023.xlsx"",""sha256"":""5ad5e47373f0dea32991d5828831bb407550397f1956abda6870e6786134b87e"",""format"":""workbook"",""location"":""Utility-Scale Battery Storage: capcost_energy, Moderate, 2020"",""dollar_year"":2020},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2022 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2022
reeds,battery,battery_li,Moderate,{},fom_energy,2021,8.695378355874281,USD/kWh-yr,2022,calculated,atb_2023_workbook.xlsx | deflator.csv,https://data.openei.org/files/5865/2023-ATB-Data_Master_v9.0.xlsx | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2021],"[{""file"":""atb_2023_workbook.xlsx"",""url"":""https://data.openei.org/files/5865/2023-ATB-Data_Master_v9.0.xlsx"",""sha256"":""ec819404979d20e0e8de77e81f9e0ac7e6a9d51e52a3cb01dcca84dacd044092"",""format"":""battery"",""location"":""Utility-Scale Battery Storage: capcost_energy, Moderate, 2021"",""dollar_year"":2021},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2023 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2023
reeds,battery,battery_li,Moderate,{},fom_energy,2022,9.773214948,USD/kWh-yr,2022,calculated,atb_2024_workbook.xlsx | deflator.csv,https://data.openei.org/files/6006/2024_v3_Workbook.xlsx | https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv,[2022],"[{""file"":""atb_2024_workbook.xlsx"",""url"":""https://data.openei.org/files/6006/2024_v3_Workbook.xlsx"",""sha256"":""34316344383535a8bf9eb220bc54282cff75bcbc332a38e8c10a17c487dc8e46"",""format"":""battery"",""location"":""Utility-Scale Battery Storage: capcost_energy, Moderate, 2022"",""dollar_year"":2022},{""file"":""deflator.csv"",""url"":""https://github.com/ReEDS-Model/ReEDS/blob/db6a1ba95836b649176fca50030e82a6b4cf9bb5/inputs/financials/deflator.csv"",""sha256"":""538d3afb409a3c89ce0f96a70867855f9bb64afa82776e875129b2547e329315"",""location"":""value_target=value_source*deflator[source_dollar_year]/deflator[target_dollar_year]"",""dollar_year"":""""}]",ATB 2024 Moderate base-year estimate; year=release-2. ReEDS FOM convention: 2.5% of capital component. Converted with the ReEDS deflator.,2024
reeds,battery,battery_li,Moderate,{},rte,2018,0.85,fraction,,atb,atb_2020_workbook.xlsm,https://atb-archive.nlr.gov/electricity/2020/files/2020-ATB-Data.xlsm,[2018],"[{""file"":""atb_2020_workbook.xlsm"",""url"":""https://atb-archive.nlr.gov/electricity/2020/files/2020-ATB-Data.xlsm"",""sha256"":""2fc2ccf72853304e45803959c77d82806debe8b686eec294838a7ac5219a7a13"",""format"":""workbook"",""location"":""Storage!L37"",""dollar_year"":2018}]",ATB 2020 Moderate base-year estimate; year=release-2.,2020
reeds,battery,battery_li,Moderate,{},rte,2019,0.85,fraction,,atb,atb_2021_workbook.xlsm,https://data.openei.org/files/4129/2021-ATB-Data_Master_new.xlsm,[2019],"[{""file"":""atb_2021_workbook.xlsm"",""url"":""https://data.openei.org/files/4129/2021-ATB-Data_Master_new.xlsm"",""sha256"":""211bc492df941a58acac912edea27c2ac2abf6d74fb2a24355fda6660c055632"",""format"":""workbook"",""location"":""Utility-Scale Battery Storage!F90"",""dollar_year"":2019}]",ATB 2021 Moderate base-year estimate; year=release-2.,2021
reeds,battery,battery_li,Moderate,{},rte,2020,0.85,fraction,,atb,atb_2022_workbook.xlsx,https://data.openei.org/files/5716/2022 v3 Annual Technology Baseline Workbook Mid-year update 2-15-2023.xlsx,[2020],"[{""file"":""atb_2022_workbook.xlsx"",""url"":""https://data.openei.org/files/5716/2022 v3 Annual Technology Baseline Workbook Mid-year update 2-15-2023.xlsx"",""sha256"":""5ad5e47373f0dea32991d5828831bb407550397f1956abda6870e6786134b87e"",""format"":""workbook"",""location"":""Utility-Scale Battery Storage!G90"",""dollar_year"":2020}]",ATB 2022 Moderate base-year estimate; year=release-2.,2022
reeds,battery,battery_li,Moderate,{},rte,2021,0.85,fraction,,atb,atb_2023_workbook.xlsx,https://data.openei.org/files/5865/2023-ATB-Data_Master_v9.0.xlsx,[2021],"[{""file"":""atb_2023_workbook.xlsx"",""url"":""https://data.openei.org/files/5865/2023-ATB-Data_Master_v9.0.xlsx"",""sha256"":""ec819404979d20e0e8de77e81f9e0ac7e6a9d51e52a3cb01dcca84dacd044092"",""format"":""battery"",""location"":""Utility-Scale Battery Storage!G97"",""dollar_year"":2021}]",ATB 2023 Moderate base-year estimate; year=release-2.,2023
reeds,battery,battery_li,Moderate,{},rte,2022,0.85,fraction,,atb,atb_2024_workbook.xlsx,https://data.openei.org/files/6006/2024_v3_Workbook.xlsx,[2022],"[{""file"":""atb_2024_workbook.xlsx"",""url"":""https://data.openei.org/files/6006/2024_v3_Workbook.xlsx"",""sha256"":""34316344383535a8bf9eb220bc54282cff75bcbc332a38e8c10a17c487dc8e46"",""format"":""battery"",""location"":""Utility-Scale Battery Storage!G173"",""dollar_year"":2022}]",ATB 2024 Moderate base-year estimate; year=release-2.,2024
