year,month,day,New_England_cdd,Mid_Atlantic_cdd,East_North_Central_cdd,West_North_Central_cdd,South_Atlantic_cdd,East_South_Central_cdd,West_South_Central_cdd,Northwest_cdd,California_cdd,Mountain_cdd,Southwest_cdd,New_England_hdd,Mid_Atlantic_hdd,East_North_Central_hdd,West_North_Central_hdd,South_Atlantic_hdd,East_South_Central_hdd,West_South_Central_hdd,Northwest_hdd,California_hdd,Mountain_hdd,Southwest_hdd,California_price,East_North_Central_price,East_South_Central_price,Mid_Atlantic_price,Mountain_price,New_England_price,Northwest_price,South_Atlantic_price,Southwest_price,West_North_Central_price,West_South_Central_price
2014,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,46,41,48,54,19,26,17,25.561025160351406,11.0,31.359928862375796,16.605951711579216,4.479746230231703,4.76,4.0,4.98,4.292467648371263,20.47,4.26,4.197584033613445,4.37010752688172,4.77,4.271962307252998
2014,1,2,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,49,43,49,60,18,26,24,22.92076887026355,9.0,34.205542556807536,16.7904752168425,4.479746230231703,4.76,4.0,4.98,4.292467648371263,20.47,4.26,4.197584033613445,4.37010752688172,4.77,4.271962307252998
2014,1,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,54,58,52,30,41,27,25.280512580175703,9.0,30.515092351436923,15.316665814737185,4.519971240755957,4.83,4.2,18.82,4.355845488924905,32.6,4.29,4.532733200507154,4.4213970983342294,4.82,4.2953345939699545
2014,1,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,52,47,44,29,33,18,30.280512580175703,10.0,35.246399436630824,15.132142309473906,4.5843912264995526,10.07,4.14,10.61,4.538525202240199,16.05,4.45,4.566008230452675,4.506407185628742,7.04,4.366706098633203
2014,1,5,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,41,37,41,60,19,23,20,30.201281450439254,10.0,47.25069335626249,21.501189320000464,4.5843912264995526,10.07,4.14,10.61,4.538525202240199,16.05,4.45,4.566008230452675,4.506407185628742,7.04,4.366706098633203
2014,1,6,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,26,28,64,72,18,47,40,29.841537740527105,11.0,46.6948620511497,22.97499872210578,4.5843912264995526,10.07,4.14,10.61,4.538525202240199,16.05,4.45,4.566008230452675,4.506407185628742,7.04,4.366706098633203
2014,1,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,59,68,61,41,52,34,27.561025160351402,12.0,39.54864512823179,21.027379917895153,4.713929778445363,7.18,4.55,43.05,5.093069666182874,34.25,4.69,5.8563615595491925,5.128052805280528,6.98,4.541233877901978
2014,1,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,53,60,57,33,41,26,23.920768870263554,13.0,34.63756004946485,18.07976111368453,4.706405712774398,5.38,4.64,22.21,4.624536453645365,25.4,4.51,4.970377706126208,4.79396559739656,5.44,4.521650623885918
2014,1,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,45,50,49,24,31,16,25.0,14.0,33.19763014443235,19.605951711579216,4.56700625,4.72,4.18,5.12,4.3970414572864325,19.3,4.32,4.284524564183835,4.417401215805471,4.73,4.297845973416732
2014,1,10,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,43,36,38,39,17,20,9,21.640256290087848,11.0,31.56153664460941,17.895237608421247,4.368592120509849,4.43,3.77,4.06,4.096214689265537,9.09,4.06,3.8920479188527457,4.183245614035087,4.39,4.077694072657744
2014,1,11,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,25,22,27,32,9,12,9,19.64025629008785,11.0,26.311095449577056,15.658332907368592,4.192216967188886,4.26,3.61,3.79,3.9496901893287437,4.66,3.92,3.7188149748020156,4.041603626133167,4.22,3.9117833418497705
2014,1,12,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,23,24,29,28,13,20,11,22.719487419824297,13.0,26.904420160548227,14.658332907368592,4.192216967188886,4.26,3.61,3.79,3.9496901893287437,4.66,3.92,3.7188149748020156,4.041603626133167,4.22,3.9117833418497705
2014,1,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,26,26,29,15,20,9,20.719487419824297,10.0,29.348119172038565,16.842856412631875,4.192216967188886,4.26,3.61,3.79,3.9496901893287437,4.66,3.92,3.7188149748020156,4.041603626133167,4.22,3.9117833418497705
2014,1,14,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,24,25,32,34,13,18,15,20.719487419824297,8.0,29.77960167586158,16.842856412631875,4.413929411764706,4.55,3.99,4.22,4.202374710871241,5.91,4.17,4.062646514497224,4.2790832553788585,4.48,4.145912052117264
2014,1,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27,29,42,42,18,28,20,21.280512580175703,5.0,29.279491520852122,15.553570515789842,4.540671444737835,4.76,4.26,4.51,4.3199319727891154,7.23,4.27,4.321961843052556,4.397605140186917,4.66,4.315397549843863
2014,1,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30,32,41,37,24,31,16,23.201281450439254,4.0,30.709963149472852,14.316665814737185,4.5819556585043015,4.81,4.42,4.74,4.3507597535934295,7.02,4.33,4.460046342270771,4.433262316910786,4.72,4.373063773035887
2014,1,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,33,44,47,23,31,18,24.481794030614957,4.0,30.97643902482882,14.027379917895155,4.689259135098895,5.12,4.52,4.8,4.512156045265038,6.6,4.47,4.552682534001431,4.5272,4.96,4.478539068756435
2014,1,18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33,36,49,41,26,33,16,23.84153774052711,6.0,30.043718679787506,14.316665814737185,4.544485337531982,5.18,4.48,10.09,4.3987343260188085,21.29,4.35,4.78239729397294,4.458881424252604,5.06,4.355023092712966
2014,1,19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,35,38,42,32,23,28,15,25.841537740527105,6.0,28.668506114770434,14.07976111368453,4.544485337531982,5.18,4.48,10.09,4.3987343260188085,21.29,4.35,4.78239729397294,4.458881424252604,5.06,4.355023092712966
2014,1,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31,32,38,35,17,20,11,24.201281450439254,7.0,30.634137612426233,13.605951711579218,4.544485337531982,5.18,4.48,10.09,4.3987343260188085,21.29,4.35,4.78239729397294,4.458881424252604,5.06,4.355023092712966
2014,1,21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,45,55,56,19,28,18,25.201281450439257,8.0,30.78257910199517,13.553570515789843,4.544485337531982,5.18,4.48,10.09,4.3987343260188085,21.29,4.35,4.78239729397294,4.458881424252604,5.06,4.355023092712966
2014,1,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,58,60,53,34,42,21,25.920768870263554,6.0,34.3313964497957,12.501189320000467,4.64202089634314,6.71,4.9,68.61,4.549110350727117,57.14,4.48,6.767605349945034,4.598538122243226,6.16,4.573868156424581
2014,1,23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,56,61,61,34,43,25,25.280512580175703,10.0,39.26298158142727,16.974998722105777,4.83771506038945,8.99,5.23,85.52,4.794635535307518,81.55,4.65,6.436516549104721,4.833724256292905,7.48,4.899774119196575
2014,1,24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,55,55,47,36,46,35,24.201281450439254,9.0,35.024340667731025,18.211903423158436,4.97119431891543,6.55,5.49,35.25,5.01465472191116,34.33,4.78,6.169384057971015,4.985547445255475,6.33,5.4058259539526645
2014,1,25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,48,47,40,30,36,22,23.84153774052711,4.0,29.71455056024329,11.738094021053122,4.893059360730594,10.12,5.46,46.87,4.884439183190293,42.2,4.73,6.971412012644889,4.826579209564929,8.31,5.100218664584148
2014,1,26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,45,46,36,24,26,13,24.76230661079066,9.0,30.275693629820484,12.605951711579218,4.893059360730594,10.12,5.46,46.87,4.884439183190293,42.2,4.73,6.971412012644889,4.826579209564929,8.31,5.100218664584148
2014,1,27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36,38,58,62,16,30,21,27.561025160351402,10.0,38.0644740999123,14.027379917895155,4.893059360730594,10.12,5.46,46.87,4.884439183190293,42.2,4.73,6.971412012644889,4.826579209564929,8.31,5.100218664584148
2014,1,28,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,51,54,67,61,28,46,34,25.280512580175703,9.0,40.307887537764074,15.738094021053122,4.948808593750001,38.93,6.04,80.75,5.02128659197687,71.96,4.83,7.242152435919198,5.074217753800882,34.91,5.5445365786578655
2014,1,29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,53,58,49,34,48,32,22.92076887026355,7.0,33.02226483299406,16.264284618947812,4.964000631512472,6.66,5.32,23.48,4.876290120883702,29.68,4.76,5.732738319715064,4.905005117707268,5.95,5.128816399286987
2014,1,30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,50,47,44,34,41,24,25.64025629008785,12.0,29.293260025830843,11.132142309473906,5.2009731543624165,6.44,5.11,9.9,5.0514244326412365,14.84,5.01,5.359964546864614,5.068448098663926,6.02,5.173076749943732
2014,1,31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,42,43,51,25,31,12,27.359743709912152,15.0,36.28787103786091,11.421428206315937,5.377269938650307,6.62,4.96,6.22,5.28929542645241,10.41,5.25,5.075510204081632,5.2479614052449275,6.28,5.206720858217208
2014,2,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,32,32,38,48,19,18,10,29.201281450439254,18.0,40.59681419585484,16.421428206315937,5.224889947437583,6.94,4.89,5.31,5.268861467588022,11.08,5.13,4.961463974300137,5.196316680779001,6.7,4.96832420694864
2014,2,2,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,27,28,43,55,12,18,18,30.561025160351406,21.0,44.018917528571826,23.132142309473906,5.224889947437583,6.94,4.89,5.31,5.268861467588022,11.08,5.13,4.961463974300137,5.196316680779001,6.7,4.96832420694864
2014,2,3,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,32,34,52,55,11,28,28,32.561025160351406,20.0,42.44640427355437,22.132142309473906,5.224889947437583,6.94,4.89,5.31,5.268861467588022,11.08,5.13,4.961463974300137,5.196316680779001,6.7,4.96832420694864
2014,2,4,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,41,42,52,55,18,25,23,37.201281450439254,20.0,44.30899382720739,22.895237608421247,6.216683513838748,7.21,4.96,5.5,6.276232718894009,11.74,6.46,5.015274094597269,6.168327157226046,7.2,5.19447362223269
2014,2,5,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,41,40,47,59,14,26,30,41.201281450439254,18.0,53.43790717887967,23.264284618947812,7.924122371840302,8.68,5.86,6.43,8.235193763919822,22.39,8.25,5.866468205037872,8.074021586109806,9.36,6.160602225949077
2014,2,6,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,44,44,57,65,22,37,38,44.201281450439254,20.0,52.94221096053843,24.738094021053122,20.190938786714245,24.89,8.0,9.97,30.152769784172662,27.48,24.86,8.073477438136827,24.50931939718036,36.23,11.991106214520466
2014,2,7,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,48,45,61,61,21,37,35,40.92076887026356,16.0,44.04107955951656,18.316665814737185,7.372579572446555,9.25,6.71,9.84,7.880403114979385,23.61,7.88,7.020752188672503,8.101050705697856,9.03,7.08313623725672
2014,2,8,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,48,47,56,56,20,31,25,37.201281450439254,13.0,34.97901876384822,14.369047010526561,6.672266945130056,12.28,5.82,9.4,6.768009444242644,22.06,7.34,6.051119645494831,6.586934573231485,10.87,6.208739191303632
2014,2,9,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,44,46,50,55,19,27,19,33.12205032070281,11.0,33.72195405020211,10.89523760842125,6.672266945130056,12.28,5.82,9.4,6.768009444242644,22.06,7.34,6.051119645494831,6.586934573231485,10.87,6.208739191303632
2014,2,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,46,58,62,21,31,23,29.561025160351406,9.0,32.90092530904909,10.842856412631875,6.672266945130056,12.28,5.82,9.4,6.768009444242644,22.06,7.34,6.051119645494831,6.586934573231485,10.87,6.208739191303632
2014,2,11,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,52,51,61,60,24,36,31,24.64025629008785,9.0,32.79352720661462,12.027379917895153,7.801855704697986,15.99,7.89,21.85,8.30303949903661,27.28,7.73,8.562501512401694,8.107667057444313,15.189999999999998,8.094996781609195
2014,2,12,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,52,52,57,51,27,35,26,21.640256290087848,7.0,29.080437132434753,11.553570515789843,6.203341103341103,8.34,7.53,17.5,6.291768569984841,22.69,6.05,8.089151903505465,6.398463966333509,8.28,7.498113534094842
2014,2,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,45,48,39,24,29,20,20.280512580175703,4.0,22.714260275134528,7.132142309473906,5.442508532423208,7.07,5.86,7.14,5.306639717028801,15.41,5.25,6.013152030217186,5.360056274620146,6.990000000000001,5.80780604853314
2014,2,14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,34,34,46,45,20,26,13,21.280512580175703,3.0,23.36082292657153,4.132142309473906,5.390213068181819,7.12,5.39,5.89,5.17057800511509,18.16,5.12,5.388687643898694,5.215926501035196,7.52,5.251909552553416
2014,2,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7630952989473438,38,36,50,45,20,31,13,23.201281450439254,5.0,20.829990361698034,2.895237608421249,5.5718387609213655,7.37,5.5,7.31,5.323031429537006,22.27,5.26,5.683255738764952,5.43307120085016,7.67,5.481048928427011
2014,2,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,44,48,43,21,25,8,25.64025629008785,6.0,19.31112381597304,4.132142309473906,5.5718387609213655,7.37,5.5,7.31,5.323031429537006,22.27,5.26,5.683255738764952,5.43307120085016,7.67,5.481048928427011
2014,2,17,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,46,46,46,33,21,19,4,24.64025629008785,9.0,22.251352753000546,5.132142309473905,5.5718387609213655,7.37,5.5,7.31,5.323031429537006,22.27,5.26,5.683255738764952,5.43307120085016,7.67,5.481048928427011
2014,2,18,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,48,40,36,26,14,15,4,24.280512580175703,11.0,22.290431540700236,5.132142309473905,5.5718387609213655,7.37,5.5,7.31,5.323031429537006,22.27,5.26,5.683255738764952,5.43307120085016,7.67,5.481048928427011
2014,2,19,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,42,33,30,29,9,11,4,26.719487419824297,10.0,22.94984612101383,5.895237608421249,5.556185910796166,7.71,5.46,5.66,5.314148148148148,13.67,5.18,5.581088035287631,5.41454802259887,7.39,5.588206546377732
2014,2,20,0,0,0,0,1,1,4,0.0,0.0,0.0,0.0,32,30,26,27,7,4,2,25.719487419824297,8.0,32.18792326130197,10.605951711579218,5.855019642077696,9.32,5.52,5.86,5.588472775564409,13.88,5.6,5.684756160606582,5.607660818713451,8.31,5.782093401676024
2014,2,21,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,29,26,30,36,7,16,13,25.561025160351406,7.0,28.652851906573773,12.316665814737187,6.312210874136377,10.51,5.79,5.98,6.142450558899398,14.66,6.41,5.866057627118645,6.045373226403454,10.82,5.882927995971802
2014,2,22,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,26,25,32,38,11,16,10,29.122050320702808,8.0,28.55538594572623,10.369047010526561,7.375222144684811,22.62,6.26,6.66,7.066642289348172,22.08,7.6,6.31732985809441,6.7299173269032035,23.58,6.194416580145356
2014,2,23,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,26,25,39,44,11,15,6,27.841537740527105,8.0,28.403016999695353,9.369047010526561,7.375222144684811,22.62,6.26,6.66,7.066642289348172,22.08,7.6,6.31732985809441,6.7299173269032035,23.58,6.194416580145356
2014,2,24,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,32,34,45,47,12,21,10,26.042819190966362,7.0,24.877330391777566,6.605951711579218,7.375222144684811,22.62,6.26,6.66,7.066642289348172,22.08,7.6,6.31732985809441,6.7299173269032035,23.58,6.194416580145356
2014,2,25,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,43,41,47,53,16,22,11,22.76230661079066,8.0,28.895413655583024,8.132142309473906,7.03623150887574,23.48,6.1,7.63,6.723218342448464,29.39,7.1,6.315573022312373,6.775668559628291,22.81,6.046821873927468
2014,2,26,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,47,44,54,53,19,31,22,22.92076887026355,12.0,29.721677077087527,8.07976111368453,5.349910581222057,19.47,5.23,13.41,5.1986129334582944,27.75,5.23,6.000038482682793,5.149534206695779,16.18,4.970477874209793
2014,2,27,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,49,48,55,56,22,33,24,23.280512580175703,9.0,26.56515555553078,7.895237608421249,5.388615759050807,23.15,5.05,15.0,5.3357831325301195,29.27,5.33,6.198799629229105,5.2141095132743365,21.53,4.829683426443204
2014,2,28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,53,53,47,25,29,14,20.280512580175703,12.0,25.86470769404688,6.895237608421249,5.808957885029204,21.81,4.73,11.64,5.476486104569006,30.29,6.58,5.3370781962506335,5.3327948839412604,19.73,4.588502378892733
2014,3,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,47,44,45,53,19,18,6,26.841537740527105,13.0,32.74051570944252,9.18452350526328,6.2096856581532425,40.21,4.76,6.52,6.841637723106609,30.44,7.13,5.009490566037735,5.824789029535865,38.9,4.94627128403389
2014,3,2,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,39,39,51,64,12,12,15,27.122050320702808,13.0,35.18200848440995,13.895237608421247,6.2096856581532425,40.21,4.76,6.52,6.841637723106609,30.44,7.13,5.009490566037735,5.824789029535865,38.9,4.94627128403389
2014,3,3,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,45,47,58,61,16,31,35,21.841537740527105,11.0,26.804759184282815,12.316665814737187,6.2096856581532425,40.21,4.76,6.52,6.841637723106609,30.44,7.13,5.009490566037735,5.824789029535865,38.9,4.94627128403389
2014,3,4,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,50,49,52,51,26,36,31,19.841537740527105,10.0,22.655772669611707,10.316665814737185,8.264915074309979,32.66,6.89,19.8,9.39518415841584,36.59,8.04,7.599731295253419,8.59963503649635,28.570000000000004,7.450883530785917
2014,3,5,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,45,43,47,44,22,28,24,17.280512580175703,7.0,22.073865258782725,7.842856412631874,6.936824902723735,12.66,7.97,8.56,7.279826464208243,28.7,6.76,8.04761685319289,7.189893095768373,12.25,7.895135918193438
2014,3,6,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,47,45,43,37,22,25,17,17.719487419824297,6.0,18.999182392650443,7.842856412631874,5.462418604651162,9.94,6.07,7.05,5.342496842105263,28.54,5.17,6.37459549071618,5.391347626339969,8.61,6.171346991037132
2014,3,7,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,44,39,35,32,19,19,14,16.0,7.0,21.812725680990397,7.132142309473906,5.010098595757395,7.7,4.73,5.06,4.840712886799843,14.98,4.8,4.86248052407932,4.755673076923077,6.72,4.7851557540848715
2014,3,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,32,29,34,36,14,16,14,20.280512580175703,5.0,22.872632930542125,9.553570515789842,4.816053785442853,10.91,4.62,5.03,4.618857262452909,15.81,4.5,4.736628253796095,4.602772277227722,10.09,4.718611960763633
2014,3,9,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,33,31,36,28,11,16,15,15.640256290087851,4.0,18.557944078891197,8.790475216842498,4.816053785442853,10.91,4.62,5.03,4.618857262452909,15.81,4.5,4.736628253796095,4.602772277227722,10.09,4.718611960763633
2014,3,10,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,32,25,25,19,9,12,9,19.35974370991215,5.0,15.555673721768029,7.605951711579218,4.816053785442853,10.91,4.62,5.03,4.618857262452909,15.81,4.5,4.736628253796095,4.602772277227722,10.09,4.718611960763633
2014,3,11,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,23,18,20,19,5,7,2,21.35974370991215,7.0,22.852193095284676,7.658332907368592,4.870275435638,5.4,4.39,4.55,4.531852770885029,7.25,4.42,4.490182115817475,4.6045360290305855,5.57,4.549898008742108
2014,3,12,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,25,22,32,31,5,9,9,19.280512580175703,6.0,26.60956450751929,10.027379917895153,4.822118683356513,6.18,4.64,4.89,4.67553534518396,8.38,4.47,4.706983129935391,4.620481927710843,5.9,4.646902003379195
2014,3,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,44,42,24,20,24,14,19.280512580175703,7.0,22.890082097368108,7.5535705157898425,4.806179900055524,5.73,4.71,10.53,4.4945958986731,23.73,4.43,5.289402013025459,4.608234456573327,5.05,4.599094437257438
2014,3,14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,35,29,22,17,18,9,17.280512580175703,7.0,20.875664928882237,7.605951711579218,4.691345029239766,4.84,4.19,4.39,4.243592233009709,8.93,4.25,4.295683440073193,4.343124387855044,4.52,4.3125970086811005
2014,3,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27,24,28,26,10,12,5,17.201281450439254,3.0,22.03763955900918,7.842856412631874,4.606753121998079,5.05,4.22,4.95,4.22486463257413,20.14,4.19,4.396244421558531,4.27985606060606,4.83,4.3264329544311435
2014,3,16,0,0,0,0,1,0,1,0.0,2.0,0.0,0.0,35,35,41,37,13,13,8,18.201281450439254,1.0,19.71979248901046,7.790475216842498,4.606753121998079,5.05,4.22,4.95,4.22486463257413,20.14,4.19,4.396244421558531,4.27985606060606,4.83,4.3264329544311435
2014,3,17,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,43,40,40,33,19,24,16,23.719487419824297,5.0,17.194931642909868,6.369047010526561,4.606753121998079,5.05,4.22,4.95,4.22486463257413,20.14,4.19,4.396244421558531,4.27985606060606,4.83,4.3264329544311435
2014,3,18,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,40,34,31,28,19,19,8,23.280512580175703,7.0,28.685165343679795,7.369047010526562,4.917058823529412,4.96,4.41,4.67,4.421700493691716,13.95,4.41,4.521517578994215,4.566548089591567,4.78,4.483771832032701
2014,3,19,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,36,31,27,27,15,14,8,22.64025629008785,6.0,26.99213449323782,9.553570515789842,4.7377655889145505,5.02,4.34,4.48,4.395742211362248,6.89,4.4,4.404604012671595,4.469016393442622,4.83,4.388372889960656
2014,3,20,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,27,24,27,23,10,14,7,25.0,6.0,22.78433970034631,8.369047010526561,4.709423929098966,4.96,4.26,4.34,4.399294585196225,5.39,4.36,4.3448837714534,4.519721463681049,4.69,4.359019457245264
2014,3,21,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,28,26,25,23,11,13,4,25.280512580175703,8.0,24.933971602798252,5.421428206315937,4.7620606644198356,4.77,4.16,4.23,4.388900592495062,5.32,4.45,4.245274587596576,4.470110120608285,4.66,4.305845374830184
2014,3,22,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,27,22,28,37,7,10,4,24.201281450439254,8.0,27.374291946529276,6.369047010526561,4.692333333333333,5.72,4.24,4.44,4.4267862838915475,8.16,4.41,4.324197888283379,4.4569676366603215,5.82,4.309447592067989
2014,3,23,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,32,31,39,41,11,16,10,20.92076887026355,8.0,25.07753888130322,6.553570515789842,4.692333333333333,5.72,4.24,4.44,4.4267862838915475,8.16,4.41,4.324197888283379,4.4569676366603215,5.82,4.309447592067989
2014,3,24,0,0,0,0,1,0,0,0.0,0.0,0.0,0.7630952989473438,43,41,40,39,18,22,13,15.920768870263554,6.0,23.68154364490625,4.842856412631874,4.692333333333333,5.72,4.24,4.44,4.4267862838915475,8.16,4.41,4.324197888283379,4.4569676366603215,5.82,4.309447592067989
2014,3,25,0,0,0,0,1,0,0,0.0,0.0,0.0,0.7630952989473438,42,39,41,39,19,26,13,18.64025629008785,8.0,19.219706727707617,5.316665814737187,4.780305973773676,5.92,4.41,5.06,4.528126410835214,12.56,4.44,4.53494405072734,4.5710894552723635,5.96,4.394455768979486
2014,3,26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,38,38,40,32,23,28,13,21.35974370991215,12.0,18.584312142427464,5.895237608421249,4.967117782909931,6.18,4.59,5.48,4.690117924528302,15.68,4.78,4.661401823510258,4.710061728395062,6.2,4.460558793715155
2014,3,27,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,36,35,30,26,18,17,3,20.719487419824297,12.0,22.46983596208047,7.947618804210625,4.864822842851187,5.15,4.25,4.48,4.53994404029099,7.27,4.58,4.342281141534902,4.6243678160919535,5.03,4.3333777885548015
2014,3,28,0,0,0,0,1,0,5,0.0,0.0,0.0,0.0,27,25,23,30,11,10,2,21.0,10.0,22.329589433705674,8.421428206315937,4.755641025641026,4.8,4.01,4.08,4.384240619416319,5.0,4.38,4.133741223671013,4.535223073456512,4.75,4.319583691514183
2014,3,29,0,0,0,0,3,0,1,0.0,0.0,0.0,0.0,22,22,28,26,5,10,5,20.0,8.0,18.276575775948125,6.369047010526561,4.745673003802281,4.69,3.97,4.07,4.398095238095237,4.89,4.4,4.1047881176967485,4.524766355140187,4.58,4.40089118378275
2014,3,30,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,24,23,26,18,11,15,5,20.719487419824297,11.0,16.60476515028649,4.4214282063159365,4.745673003802281,4.69,3.97,4.07,4.398095238095237,4.89,4.4,4.1047881176967485,4.524766355140187,4.58,4.40089118378275
2014,3,31,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,28,23,20,14,8,11,2,21.438974839648594,14.0,22.503096153788523,6.421428206315937,4.745673003802281,4.69,3.97,4.07,4.398095238095237,4.89,4.4,4.1047881176967485,4.524766355140187,4.58,4.40089118378275
2014,4,1,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,23,21,19,30,6,5,1,20.438974839648594,17.0,23.861355023009185,6.947618804210624,4.796866666666667,4.74,4.22,4.28,4.366151029748284,6.09,4.4,4.294678751258812,4.479579196217495,4.83,4.3478451906659075
2014,4,2,0,0,0,0,1,1,7,0.0,0.0,0.0,0.0,24,20,22,28,4,2,0,18.359743709912152,16.0,24.94292562644607,10.0,4.773269715520345,4.7,4.17,4.27,4.374784,5.32,4.34,4.234263959390863,4.4960195936139336,4.68,4.280444383860415
2014,4,3,0,0,0,0,2,3,9,0.0,0.0,0.0,0.0,24,18,23,24,3,1,0,20.0,14.0,25.706313920658985,14.18452350526328,4.721802575107296,4.73,4.23,4.3,4.3814844533600805,5.12,4.35,4.284738918542586,4.473326141675656,4.68,4.314026966916876
2014,4,4,0,0,0,0,3,1,2,0.0,0.0,0.0,0.0,25,22,20,27,3,3,6,20.0,14.0,24.23805135265543,12.369047010526561,4.808251231527094,4.79,4.29,4.36,4.4522240709927905,5.21,4.39,4.3574262485482,4.557144495412845,4.74,4.397253641254428
2014,4,5,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,22,22,25,24,5,13,8,20.0,12.0,21.25481993506674,9.89523760842125,4.809703187980945,4.69,4.25,4.31,4.375988315481986,4.85,4.33,4.336572593289432,4.516659981768459,4.61,4.40984949832776
